"","Race_id","Driver_id","lap_mean","pitStop_mean","constructor_id","pos"
"1999",942,3,118849.160714286,24941,131,2
"2000",942,4,119777.125,27341,1,11
"2001",942,8,122750.88,29640.5,6,NA
"2002",942,13,121012.869565217,24646,3,NA
"2003",942,18,119299.303571429,25612.3333333333,1,6
"2004",942,20,118858.642857143,24917.6666666667,6,3
"2005",942,154,136864.3,27675.5,208,NA
"2006",942,807,121836.714285714,27352,10,NA
"2007",942,813,119374.571428571,26117,208,8
"2008",942,815,119234.214285714,25594,10,5
"2009",942,817,119751.321428571,25582,9,10
"2010",942,822,157747,33436,3,NA
"2011",942,826,121275.87804878,24921.5,9,NA
"2012",942,828,121445.32,30330,15,NA
"2013",942,829,182097,NA,209,NA
"2014",942,830,119197.535714286,25215.5,5,4
"2015",942,831,119517.142857143,28660.6,15,9
"2016",942,832,119255.75,32227,5,7
"2017",942,834,120142.5,30026.6666666667,209,12
"2018",943,1,86718.1971830986,22316,131,2
"2019",943,3,86690.676056338,22347,131,1
"2020",943,4,118053,NA,1,NA
"2021",943,8,86311.7142857143,NA,6,NA
"2022",943,13,86993.3943661972,22967.5,3,6
"2023",943,18,87383.8309859155,23187,1,14
"2024",943,20,85567.44,25113,6,NA
"2025",943,154,87224.9577464789,22918,208,10
"2026",943,807,87054.9014084507,23706.5,10,7
"2027",943,813,87233.4647887324,25292,208,11
"2028",943,815,87174.3802816901,23547,10,8
"2029",943,817,86967.8873239437,22455,9,5
"2030",943,822,86896.1971830986,23058.5,3,3
"2031",943,826,86924.0845070423,22538.5,9,4
"2032",943,828,87256.5915492958,23236.3333333333,15,12
"2033",943,829,89511.115942029,24655.5,209,16
"2034",943,830,87186.8591549296,22787,5,9
"2035",943,831,88139,23418.6666666667,15,NA
"2036",943,832,87377.6056338028,23324,5,13
"2037",943,834,89360.7971014493,27904.5,209,15
"2038",944,1,77138.676056338,23470.6666666667,131,2
"2039",944,3,77029.4366197183,23802,131,1
"2040",944,4,79155.4428571429,23336.3333333333,1,15
"2041",944,8,77699.0563380282,24300.5,6,4
"2042",944,13,78509.0571428571,23738.3333333333,3,NA
"2043",944,18,79022.4285714286,23636.3333333333,1,14
"2044",944,20,77230.0563380282,23712,6,3
"2045",944,154,78678.7571428571,24073.3333333333,208,8
"2046",944,807,78391.7,24104,10,6
"2047",944,813,78857.7,27098.5,208,10
"2048",944,815,78993.3,23731.6666666667,10,12
"2049",944,817,78879.7142857143,24230.3333333333,9,11
"2050",944,822,78159,24324.5,3,5
"2051",944,826,78436.0857142857,23892.5,9,7
"2052",944,828,79425.7971014493,26316.3333333333,15,16
"2053",944,829,81838.5671641791,26321,209,17
"2054",944,830,78832.6714285714,24132.3333333333,5,9
"2055",944,831,79014.3857142857,25010,15,13
"2056",944,834,81995.8805970149,26099,209,18
"2057",945,1,107608.109090909,21369,131,2
"2058",945,3,107457.727272727,21608.5,131,1
"2059",945,4,112409.830188679,26435.25,1,17
"2060",945,8,107811,23887.5,6,3
"2061",945,13,109235.018181818,22780.5,3,8
"2062",945,18,109995.907407407,23016,1,12
"2063",945,20,108252.909090909,21711.5,6,4
"2064",945,154,109243.2,22218.5,208,9
"2065",945,807,109159.872727273,22109.5,10,7
"2066",945,815,108620.490909091,22019,10,5
"2067",945,817,108639.727272727,22033.5,9,6
"2068",945,822,110004.62962963,27566.3333333333,3,13
"2069",945,826,109319.018181818,21751,9,10
"2070",945,828,110040,22519,15,14
"2071",945,829,113098.188679245,22883.5,209,18
"2072",945,830,109704.888888889,22373.6666666667,5,16
"2073",945,831,110113,24433,15,15
"2074",945,832,109340,23685,5,11
"2075",945,833,114454.269230769,24314,209,19
"2076",948,1,114098.684210526,556013.5,131,2
"2077",948,3,113957.280701754,555417,131,1
"2078",948,4,96207.75,21796,1,NA
"2079",948,8,152368.761904762,555936.5,6,NA
"2080",948,13,114992,555677.5,3,5
"2081",948,18,116021.75,376306.333333333,1,14
"2082",948,20,114126.456140351,378399.666666667,6,3
"2083",948,154,115221.859649123,1089417,210,6
"2084",948,807,115259.01754386,555661,10,7
"2085",948,815,115566.035087719,556015,10,13
"2086",948,817,114384.122807018,378016,9,4
"2087",948,821,96172,NA,210,NA
"2088",948,822,115275.754385965,555182.5,3,8
"2089",948,825,115459.140350877,332076,4,12
"2090",948,828,127522.026315789,375389.333333333,15,NA
"2091",948,830,115305.228070175,380247,5,10
"2092",948,831,116172.892857143,552519,15,15
"2093",948,832,115285,378259,5,9
"2094",948,835,115420.421052632,555790,4,11
"2095",948,836,117592.035714286,377413.666666667,209,16
"2096",948,837,99412.2352941177,23224,209,NA
"2097",949,1,99032.350877193,24688.6666666667,131,3
"2098",949,3,98503.4385964912,25973.6666666667,131,1
"2099",949,8,98683.8245614035,25066.3333333333,6,2
"2100",949,13,100326.517857143,24164.5,3,8
"2101",949,18,100905.833333333,NA,1,NA
"2102",949,154,99877.1052631579,27317.6666666667,210,5
"2103",949,807,101132.928571429,27047.5,10,15
"2104",949,815,101165.571428571,26637,10,16
"2105",949,817,99599.8245614035,25350.3333333333,9,4
"2106",949,821,105927.222222222,32793,210,NA
"2107",949,822,100450.642857143,23474.3333333333,3,9
"2108",949,825,100821.142857143,25200,4,11
"2109",949,826,100282.678571429,24434.6666666667,9,7
"2110",949,828,100960.303571429,25069,15,12
"2111",949,830,99923.2456140351,25511,5,6
"2112",949,831,101113.660714286,25799,15,14
"2113",949,832,104221.068965517,31689.5,5,NA
"2114",949,836,101005.678571429,25734,209,13
"2115",949,837,101504.017857143,26673,209,17
"2116",949,838,100501.625,24867.3333333333,1,10
"2117",950,1,107359.303571429,24425.2,131,7
"2118",950,3,105962.339285714,23195,131,1
"2119",950,4,107699,22900.5,1,12
"2120",950,8,107138.625,25754,6,5
"2121",950,13,107310.75,22736.5,3,6
"2122",950,18,107783.589285714,23203.6666666667,1,13
"2123",950,20,106636.910714286,24913.6666666667,6,2
"2124",950,154,108483.745454545,32451,210,19
"2125",950,807,107997.654545455,25977.5,10,15
"2126",950,815,107645.964285714,22683.6666666667,10,11
"2127",950,817,106903.196428571,23093,9,4
"2128",950,821,107973.4,23303.6666666667,210,14
"2129",950,822,107501.482142857,22686.3333333333,3,10
"2130",950,825,108366.854545455,23030.6666666667,4,17
"2131",950,826,106782.625,23125,9,3
"2132",950,828,108189.418181818,23759,15,16
"2133",950,830,107377.839285714,25636,5,8
"2134",950,831,108902.945454545,28648.6666666667,15,20
"2135",950,832,107464.607142857,24285,5,9
"2136",950,835,109043.072727273,23392.6666666667,4,22
"2137",950,836,108454.090909091,25115.6666666667,209,18
"2138",950,837,109003.690909091,24062.3333333333,209,21
"2139",951,1,105415.452830189,30001,131,2
"2140",951,3,104943.339622642,29709,131,1
"2141",951,4,107021.211538462,29751,1,6
"2142",951,8,105547.075471698,30498,6,3
"2143",951,13,106347.622641509,29808,3,5
"2144",951,18,107330.365384615,30580,1,10
"2145",951,154,107224.865384615,31420,210,8
"2146",951,815,107254.173076923,31600,10,9
"2147",951,817,107477.730769231,39484,9,11
"2148",951,821,108258.653846154,32603,210,17
"2149",951,822,105890.830188679,29841,3,4
"2150",951,825,107187.326923077,30585,4,7
"2151",951,826,107994.807692308,40094,9,15
"2152",951,828,107693.788461538,30481,15,14
"2153",951,830,109087.393939394,30553,5,NA
"2154",951,831,108025.384615385,30259,15,16
"2155",951,832,107462.807692308,30805,5,12
"2156",951,835,107656,30805,4,13
"2157",951,836,109791.215686275,44292,209,18
"2158",952,4,95254.7555555556,22391,1,NA
"2159",952,8,92433.8333333333,22138,6,2
"2160",952,13,93647.3333333333,21927.6666666667,3,8
"2161",952,18,93883.8,22435,1,9
"2162",952,20,92509.0606060606,21954.3333333333,6,3
"2163",952,154,95264.9285714286,26954.3333333333,210,NA
"2164",952,807,98555.1,22176,10,NA
"2165",952,815,93629.6212121212,22298.5,10,7
"2166",952,817,93090.4090909091,22164.5,9,4
"2167",952,821,94052.3846153846,22818,210,11
"2168",952,822,93110.4242424242,22149.5,3,5
"2169",952,825,94609.6923076923,22710,4,14
"2170",952,826,93934.8,22760,5,10
"2171",952,828,94480.7230769231,22953,15,12
"2172",952,830,92424.5,22358.5,9,1
"2173",952,831,94617.9076923077,23033,15,15
"2174",952,832,93354.7272727273,22905.5,5,6
"2175",952,835,94566.8307692308,22840,4,13
"2176",952,836,94998.8769230769,24470.5,209,16
"2177",952,837,95225.7692307692,27469.5,209,17
"2178",953,1,91911.9615384615,26315,131,1
"2179",953,3,93107.9871794872,27189,131,7
"2180",953,4,93002.6794871795,26174,1,5
"2181",953,8,127239.5,NA,6,NA
"2182",953,13,93400.2467532468,25058,3,10
"2183",953,18,93353.025974026,25608,1,9
"2184",953,20,92115.1153846154,25337.5,6,4
"2185",953,154,95356.2236842105,29300.5,210,13
"2186",953,807,93104.2564102564,26139.5,10,6
"2187",953,815,92089.2051282051,25661,10,3
"2188",953,817,92004.9358974359,30190.5,9,2
"2189",953,821,94110.6493506494,26725.5,210,11
"2190",953,822,94098.6363636364,25838.3333333333,3,12
"2191",953,825,111197.34375,30378.5,4,NA
"2192",953,826,121788.444444444,46741.6666666667,5,NA
"2193",953,828,101983.196078431,28984.3333333333,15,NA
"2194",953,830,105372.705882353,25531.5,9,NA
"2195",953,831,103131.020833333,33702.6666666667,15,NA
"2196",953,832,93127.2337662338,27925,5,8
"2197",953,835,134034.285714286,NA,4,NA
"2198",953,836,95326.3684210526,26517,209,14
"2199",953,837,97051.0810810811,27596.3333333333,209,15
"2200",954,1,78075.6571428571,22243,131,1
"2201",954,3,78962.7,22597,131,5
"2202",954,4,79925.9275362319,27952,1,11
"2203",954,8,78975.9,23041.5,6,6
"2204",954,13,80248.0571428571,22925,3,NA
"2205",954,18,81438.8888888889,NA,1,NA
"2206",954,20,78147.2428571429,22479,6,2
"2207",954,154,80387.5882352941,26283,210,14
"2208",954,807,79407.1884057971,22993.5,10,8
"2209",954,815,79527.347826087,23656.5,10,10
"2210",954,817,78984.7142857143,23445,9,7
"2211",954,821,80379.1764705882,23670,210,13
"2212",954,822,78738.8285714286,22184,3,3
"2213",954,825,80705.9117647059,23162,4,16
"2214",954,826,80011.0289855072,22813.5,5,12
"2215",954,828,80505.0882352941,23128,15,15
"2216",954,830,78833.0857142857,23247.5,9,4
"2217",954,831,81001.3382352941,23797.5,15,18
"2218",954,832,79489.6666666667,23981,5,9
"2219",954,835,82832.6875,NA,4,NA
"2220",954,836,80820.2352941177,24650,209,17
"2221",954,837,81468.7205882353,27400.5,209,19
"2222",955,1,110366.68627451,20108,131,5
"2223",955,3,109262.078431373,20058,131,1
"2224",955,4,112829.30952381,20468,1,NA
"2225",955,8,109813.098039216,20593,6,4
"2226",955,13,110936.098039216,19651.5,3,10
"2227",955,18,111317.31372549,20412.5,1,11
"2228",955,20,109589.450980392,20422,6,2
"2229",955,154,111599.22,22360,210,13
"2230",955,807,110785.764705882,20347,10,9
"2231",955,815,109757,20614,10,3
"2232",955,817,110619.509803922,19997.5,9,7
"2233",955,821,112178.6,25380,210,16
"2234",955,822,110455.921568627,19732,3,6
"2235",955,825,111834.62,20772,4,14
"2236",955,826,122823.5,24802,5,NA
"2237",955,828,112454.08,20821,15,17
"2238",955,830,110648.274509804,21283,9,8
"2239",955,831,111550.64,20691.5,15,12
"2240",955,832,112991.032258065,21529,5,NA
"2241",955,835,112082.4,20763,4,15
"2242",955,836,113486.282051282,26187,209,NA
"2243",955,837,113986.979591837,33405,209,18
"2244",956,1,74057.8450704225,20181.5,131,1
"2245",956,3,74293.1971830986,19776,131,4
"2246",956,4,75722.53125,19940.25,1,18
"2247",956,8,74142.6901408451,20525.6666666667,6,3
"2248",956,13,75713.9047619048,19682.75,3,20
"2249",956,18,74588.9154929577,20541.25,1,6
"2250",956,20,72159.1923076923,NA,6,NA
"2251",956,154,74616.5492957746,20358.6666666667,210,7
"2252",956,807,76007.671875,21454,10,19
"2253",956,815,74807.5217391304,19452.25,10,17
"2254",956,817,74494.1971830986,20305.5,9,5
"2255",956,821,75166.5571428571,19689.25,210,11
"2256",956,822,75142.3857142857,20340.5,3,9
"2257",956,825,75450.0571428571,21621,4,14
"2258",956,826,82316.5,NA,5,NA
"2259",956,828,75505.4571428571,20691.5,15,15
"2260",956,830,74138.3943661972,19188.3333333333,9,2
"2261",956,831,75407.3571428571,20458.3333333333,15,13
"2262",956,832,74725.4507042254,24901,5,8
"2263",956,835,75380.5285714286,19926.5,4,12
"2264",956,836,75157.6857142857,20689.25,209,10
"2265",956,837,75526.1285714286,20651.5,209,16
